#controlledVocabulary	DatasetField	Value	identifier	displayOrder
	unitOfAnalysis	Individual	Individual	0
	unitOfAnalysis	OrganizationOrInstitution	OrganizationOrInstitution	1
	unitOfAnalysis	Family	Family	2
	unitOfAnalysis	Family.HouseholdFamily	Family.HouseholdFamily	3
	unitOfAnalysis	Household	Household	4
	unitOfAnalysis	HousingUnit	HousingUnit	5
	unitOfAnalysis	EventOrProcessOrActivity	EventOrProcessOrActivity	6
	unitOfAnalysis	GeographicUnit	GeographicUnit	7
	unitOfAnalysis	PoliticalAdministrativeArea	PoliticalAdministrativeArea	8
	unitOfAnalysis	TimeUnit	TimeUnit	9
	unitOfAnalysis	MediaUnit	MediaUnit	10
	unitOfAnalysis	MediaUnit.Sound	MediaUnit.Sound	11
	unitOfAnalysis	MediaUnit.StillImage	MediaUnit.StillImage	12
	unitOfAnalysis	MediaUnit.Text	MediaUnit.Text	13
	unitOfAnalysis	MediaUnit.Video	MediaUnit.Video	14
	unitOfAnalysis	Group	Group	15
	unitOfAnalysis	Object	Object	16
	unitOfAnalysis	Other	Other	17
	timeMethod	Longitudinal	Longitudinal	0
	timeMethod	Longitudinal.CohortEventBased	Longitudinal.CohortEventBased	1
	timeMethod	Longitudinal.TrendRepeatedCrossSection	Longitudinal.TrendRepeatedCrossSection	2
	timeMethod	Longitudinal.Panel	Longitudinal.Panel	3
	timeMethod	Longitudinal.Panel.Continuous	Longitudinal.Panel.Continuous	4
	timeMethod	Longitudinal.Panel.Interval	Longitudinal.Panel.Interval	5
	timeMethod	TimeSeries	TimeSeries	6
	timeMethod	TimeSeries.Continuous	TimeSeries.Continuous	7
	timeMethod	TimeSeries.Discrete	TimeSeries.Discrete	8
	timeMethod	CrossSection	CrossSection	9
	timeMethod	CrossSectionAdHocFollowUp	CrossSectionAdHocFollowUp	10
	timeMethod	Other	Other	11
	samplingProcedure	TotalUniverseCompleteEnumeration	TotalUniverseCompleteEnumeration	0
	samplingProcedure	Probability	Probability	1
	samplingProcedure	Probability.SimpleRandom	Probability.SimpleRandom	2
	samplingProcedure	Probability.SystematicRandom	Probability.SystematicRandom	3
	samplingProcedure	Probability.Stratified	Probability.Stratified	4
	samplingProcedure	Probability.Stratified.Proportional	Probability.Stratified.Proportional	5
	samplingProcedure	Probability.Stratified.Disproportional	Probability.Stratified.Disproportional	6
	samplingProcedure	Probability.Cluster	Probability.Cluster	7
	samplingProcedure	Probability.Cluster.SimpleRandom	Probability.Cluster.SimpleRandom	8
	samplingProcedure	Probability.Cluster.StratifiedRandom	Probability.Cluster.StratifiedRandom	9
	samplingProcedure	Probability.Multistage	Probability.Multistage	10
	samplingProcedure	Nonprobability	Nonprobability	11
	samplingProcedure	Nonprobability.Availability	Nonprobability.Availability	12
	samplingProcedure	Nonprobability.Purposive	Nonprobability.Purposive	13
	samplingProcedure	Nonprobability.Quota	Nonprobability.Quota	14
	samplingProcedure	Nonprobability.RespondentAssisted	Nonprobability.RespondentAssisted	15
	samplingProcedure	MixedProbabilityNonprobability	MixedProbabilityNonprobability	16
	samplingProcedure	Other	Other	17
	collectionMode	Interview	Interview	0
	collectionMode	Interview.FaceToFace	Interview.FaceToFace	1
	collectionMode	Interview.FaceToFace.CAPIorCAMI	Interview.FaceToFace.CAPIorCAMI	2
	collectionMode	Interview.FaceToFace.PAPI	Interview.FaceToFace.PAPI	3
	collectionMode	Interview.Telephone	Interview.Telephone	4
	collectionMode	Interview.Telephone.CATI	Interview.Telephone.CATI	5
	collectionMode	Interview.Email	Interview.Email	6
	collectionMode	Interview.WebBased	Interview.WebBased	7
	collectionMode	SelfAdministeredQuestionnaire	SelfAdministeredQuestionnaire	8
	collectionMode	SelfAdministeredQuestionnaire.Email	SelfAdministeredQuestionnaire.Email	9
	collectionMode	SelfAdministeredQuestionnaire.Paper	SelfAdministeredQuestionnaire.Paper	10
	collectionMode	SelfAdministeredQuestionnaire.SMSorMMS	SelfAdministeredQuestionnaire.SMSorMMS	11
	collectionMode	SelfAdministeredQuestionnaire.CAWI	SelfAdministeredQuestionnaire.CAWI	12
	collectionMode	SelfAdministeredQuestionnaire.CASI	SelfAdministeredQuestionnaire.CASI	13
	collectionMode	FocusGroup	FocusGroup	14
	collectionMode	FocusGroup.FaceToFace	FocusGroup.FaceToFace	15
	collectionMode	FocusGroup.Telephone	FocusGroup.Telephone	16
	collectionMode	FocusGroup.Online	FocusGroup.Online	17
	collectionMode	SelfAdministeredWritingsAndDiaries	SelfAdministeredWritingsAndDiaries	18
	collectionMode	SelfAdministeredWritingsAndDiaries.Email	SelfAdministeredWritingsAndDiaries.Email	19
	collectionMode	SelfAdministeredWritingsAndDiaries.Paper	SelfAdministeredWritingsAndDiaries.Paper	20
	collectionMode	SelfAdministeredWritingsAndDiaries.WebBased	SelfAdministeredWritingsAndDiaries.WebBased	21
	collectionMode	Observation	Observation	22
	collectionMode	Observation.Field	Observation.Field	23
	collectionMode	Observation.Field.Participant	Observation.Field.Participant	24
	collectionMode	Observation.Field.Nonparticipant	Observation.Field.Nonparticipant	25
	collectionMode	Observation.Laboratory	Observation.Laboratory	26
	collectionMode	Observation.Laboratory.Participant	Observation.Laboratory.Participant	27
	collectionMode	Observation.Laboratory.Nonparticipant	Observation.Laboratory.Nonparticipant	28
	collectionMode	Observation.ComputerBased	Observation.ComputerBased	29
	collectionMode	Experiment	Experiment	30
	collectionMode	Experiment.Laboratory	Experiment.Laboratory	31
	collectionMode	Experiment.FieldIntervention	Experiment.FieldIntervention	32
	collectionMode	Experiment.WebBased	Experiment.WebBased	33
	collectionMode	Recording	Recording	34
	collectionMode	ContentCoding	ContentCoding	35
	collectionMode	Transcription	Transcription	36
